dataset_name,OS-CNN,OS-CNN-RES(2),OS-CNN-RES(3),OS-CNN-RES(5),OS-CNN-RES(6)
ACSF1,90.2,90,94,92,92
Adiac,83.4526856,82.097,80.307,80.051,79.795
AllGestureWiimoteX,80.1714286,81.857,78.571,79,79
AllGestureWiimoteY,81.3571429,82.286,81.429,81.429,81.143
AllGestureWiimoteZ,77.6571429,79,76.429,74.571,77.286
ArrowHead,83.7714285,86.286,83.429,82.857,81.143
Beef,80.6666666,83.333,76.667,86.667,83.333
BeetleFly,81.5,85,75,90,75
BirdChicken,88.5,95,100,80,75
BME,100,100,100,100,100
Car,93.333333,90,91.667,93.333,93.333
CBF,99.9888889,100,100,100,97.333
Chinatown,97.6811594,98.261,98.261,97.101,97.681
ChlorineConcentration,83.8697917,87.76,84.297,81.589,77.812
CinCECGTorso,82.7463769,82.319,71.232,72.971,71.087
Coffee,100,100,100,100,96.429
Computers,70.68,80,72.8,72.4,69.2
CricketX,85.5128205,85.897,84.872,83.59,85.897
CricketY,86.7179487,87.692,84.359,85.385,82.051
CricketZ,86.3076923,85.897,85.385,83.333,83.077
Crop,76.8791667,76.869,76.286,76.321,76.435
DiatomSizeReduction,97.7124184,99.673,97.712,99.673,99.02
DistalPhalanxOutlineAgeGroup,73.8129496,74.101,76.259,75.54,75.54
DistalPhalanxOutlineCorrect,76.594203,73.913,80.435,79.348,78.986
DistalPhalanxTW,66.4028775,63.309,66.906,63.309,63.309
DodgerLoopDay,53.875,60,62.5,58.75,51.25
DodgerLoopGame,88.7681159,92.029,92.754,90.58,92.029
DodgerLoopWeekend,97.826087,97.826,97.826,97.826,95.652
Earthquakes,66.9784174,71.223,69.784,73.381,67.626
ECG200,90.8,90,90,87,91
ECG5000,94.0088889,93.333,93.556,93.711,93.333
ECGFiveDays,99.9535424,100,100,100,100
ElectricDevices,72.3589678,73.116,73.635,73.155,71.845
EOGHorizontalSignal,63.9779005,59.945,56.077,58.011,61.326
EOGVerticalSignal,47.762431,51.105,51.381,50.829,54.972
EthanolLevel,73.08,83,83.2,90.6,92
FaceAll,84.4733728,81.953,83.728,83.254,81.893
FaceFour,95.1136363,94.318,96.591,98.864,94.318
FacesUCR,96.7414633,96.829,96,97.024,97.122
FiftyWords,81.6043955,82.637,79.78,80.879,80.879
Fish,98.7428571,98.286,97.714,98.286,97.714
FordA,95.4772725,95.227,95.909,95.758,94.773
FordB,83.7901234,84.198,85.432,85.062,85.309
FreezerRegularTrain,99.6631579,99.754,99.789,99.474,99.614
FreezerSmallTrain,88.1894737,88.772,92.421,72.877,67.368
Fungi,100,98.387,97.849,86.559,93.011
GestureMidAirD1,73,74.615,73.077,73.077,73.846
GestureMidAirD2,63.2307693,60.769,66.923,63.077,70
GestureMidAirD3,41.6923077,40,37.692,42.308,46.923
GesturePebbleZ1,92.0348837,91.279,92.442,91.86,93.605
GesturePebbleZ2,89.9367089,87.342,91.772,90.506,92.405
