dataset_name,MOS-CNN,OS-CNN,TapNet,MLSTM-FCN,WEASEL+MUSE,ED-1NN,DTW-1NN-I,DTW-1NND,ED-1NN(norm),DTW-1NN-I(norm),DTW-1NND(norm)
ArticularyWordRecognition,99.08325,98.75,98.7,97.3,99,97,98,98.7,97,98,98.7
AtrialFibrillation,18.33325,23.3335,33.3,26.7,33.3,26.7,26.7,20,26.7,26.7,22
BasicMotions,100,100,100,95,100,67.5,100,97.5,67.6,100,97.5
CharacterTrajectories,99.63425,99.756,99.7,98.5,99,96.4,96.9,99,96.4,96.9,98.9
Cricket,98.95825,99.3055,95.8,91.7,100,94.4,98.6,100,94.4,98.6,100
DuckDuckGeese,61.5,54,57.5,67.5,57.5,27.5,55,60,27.5,55,60
EigenWorms,50.7635,41.412,48.9,50.4,89,55,60.3,61.8,54.9,NaN,61.8
Epilepsy,99.6375,98.007,97.1,76.1,100,66.7,97.8,96.4,66.6,97.8,96.4
ERing,91.4815,88.148,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
EthanolConcentration,41.54,24.04925,32.3,37.3,43,29.3,30.4,32.3,29.3,NaN,32.3
FaceDetection,59.66225,57.4985,55.6,54.5,54.5,51.9,51.3,52.9,51.9,50,52.9
FingerMovements,56.75,56.75,53,58,49,55,52,53,55,52,53
HandMovementDirection,36.1485,44.25675,37.8,36.5,36.5,27.9,30.6,23.1,27.8,30.6,23.1
Handwriting,67.6765,66.82325,35.7,28.6,60.5,37.1,50.9,60.7,20,31.6,28.6
Heartbeat,60.36575,48.90275,75.1,66.3,72.7,62,65.9,71.7,61.9,65.8,71.7
InsectWingbeat,73.91,66.665,20.8,16.7,NaN,12.8,NaN,11.5,12.8,NaN,NaN
JapaneseVowels,98.919,99.1215,96.5,97.6,97.3,92.4,95.9,94.9,92.4,95.9,94.9
Libras,96.52775,95.00025,85,85.6,87.8,83.3,89.4,87.2,83.3,89.4,87
LSST,52.1495,41.251,56.8,37.3,59,45.6,57.5,55.1,45.6,57.5,55.1
MotorImagery,51.5,53.5,59,51,50,51,39,50,51,NaN,50
N/ATOPS,95.13875,96.8055,93.9,88.9,87,86,85,88.3,85,85,88.3
PEMS-SF,76.44525,76.0115,75.1,69.9,NaN,70.5,73.4,71.1,70.5,73.4,71.1
PenDigits,98.2775,98.549,98,97.8,94.8,97.3,93.9,97.7,97.3,93.9,97.7
Phoneme,29.54825,29.92825,17.5,11,19,10.4,15.1,15.1,10.4,15.1,15.1
RacketSports,92.9275,87.6645,86.8,80.3,93.4,86.8,84.2,80.3,86.8,84.2,80.3
SelfRegulationSCP1,82.85,83.53225,65.2,87.4,71,77.1,76.5,77.5,77.1,76.5,77.5
SelfRegulationSCP2,50.97225,53.1945,55,47.2,46,48.3,53.3,53.9,48.3,53.3,53.9
SpokeN/ArabicDigits,99.568,99.659,98.3,99,98.2,96.7,96,96.3,96.7,95.9,96.3
StandWalkJump,38.33325,38.33325,40,6.7,33.3,20,33.3,20,20,33.3,20
UWaveGestureLibrary,92.5785,92.656,89.4,89.1,91.6,88.1,86.9,90.3,88.1,86.8,90.3
