dataset_name,OS-CNN,STC,ROCKET,TS-CHIEF,Encoder,FCN,FCN(16),FCN(50),FCN(100),FCN(150),FCN(200),ResNet,MLP,MCNN,t-LeNet,MCDCNN,Time-CNN,TWIESN,1-NN DTW CV,1-NN DTW,LS,TSBF,EE(PROP),PF,ST,BOSS,WEASEL,Flat-COTE,HIVE-COTE,Inception,InceptionTime,OS-CNN-ENS(2),OS-CNN-ENS(3),OS-CNN-ENS(4),OS-CNN-ENS(5),OS-CNN-ENS(6),OS-CNN-ENS(7),OS-CNN-ENS(8),OS-CNN-RES(2),OS-CNN-RES(3),UOS-CNN
Adiac,83.4526854219949(1.1033071411827606),79.31798806,78.337596,79.8,31.9693094629156(0.6520485311499733),83.88746803069054(0.808766665004697),83.88746803069054(0.808766665004697),82.86445013,82.60869565,80.0511509,79.79539642,82.86445012787725(1.006906377750872),39.83375959079284(1.6112024511961829),2.2(0.6),2.3017902813299225(0.4429797461812985),61.06138107416881(4.341710005464182),38.29923273657289(1.1347979123592618),42.710997442455245(1.8084572408863093),61.1,60.4,56.32,76.98209719,66.49616368,71.8414322,78.26086957,76.4705882,83.12,79.028133,81.0741688,82.96675191815858(2.1373485847341356),84.14322250000001(0.0),83.58056266,83.55498721,83.63171355,83.1202046,83.50383632,83.29923274,83.32480818,82.097,80.307,83.63171355
ArrowHead,83.77142857142857(1.3570676670900468),80.66666667,81.428571,83.27,63.42857142857143(0.5714285714285727),84.14285714285714(1.1693361102674933),84.14285714285714(1.1693361102674933),86.28571429,78.85714286,78.28571429,69.71428571,83.14285714285714(1.9166296949998218),78.57142857142857(1.538618516324145),33.9(4.7),30.28571428571429(0.0),64.85714285714286(10.016313224547488),71.0(1.7785570854269603),67.14285714285715(7.466933911641134),80,66.3,84.57142857,75.42857143,81.14285714,84.4571429,73.71428571,83.4285714,85.714,81.1428571,86.2857143,84.68571428571427(2.5401269452448965),84.5714286(0.0),84.68571429,85.42857143,84.85714286,84.85714286,84.97142857,84.57142857,84.85714286,86.286,83.429,85.14285714
Beef,80.66666666666666(2.4944382578492936),73.55555556,83.333333,70.61,70.0(4.082482904638634),68.33333333333333(1.6666666666666663),68.33333333333333(1.6666666666666663),73.33333333,83.33333333,86.66666667,66.66666667,75.83333333333333(3.6324157862838984),72.49999999999999(2.763853991962837),20.0(0.0),20.0(0.0),44.99999999999999(15.723301886761003),77.50000000000001(1.443375672974064),47.5(17.853571071357123),66.7,63.3,76,56.66666667,63.33333333,71,90,80,76.667,86.6666667,93.3333333,68.66666666666667(3.9999999999999996),70.0(0.0),80.33333333,80.33333333,80,80,80,80,80,83.333,76.667,90
BeetleFly,81.5(5.5),93.33333333,90,91.36,62.5(2.500000000000002),88.75(4.145780987944249),88.75(4.145780987944249),85,95,95,75,85.0(0.0),87.5(2.500000000000002),50.0(0.0),50.0(0.0),66.25000000000001(14.306903927824493),90.0(0.0),77.49999999999999(2.500000000000002),70,70,80,80,75,74.5,90,90,95,80,95,80.0(3.1622776601683786),80.0(0.0),84.5,83.5,84,85,85,85,85,85,75,85
BirdChicken,88.5(3.201562118716425),87,90,90.91,50.0(3.535533905932738),92.5(4.330127018922193),92.5(4.330127018922193),100,90,80,80,86.25(2.1650635094610986),72.50000000000001(4.330127018922197),50.0(0.0),50.0(0.0),52.5(9.013878188659973),73.75(4.145780987944254),68.75(5.448623679425842),70,75,80,90,80,85.5,80,95,80,90,85,95.0(3.1622776601683786),95.0(0.0),89.5,90,90,90,90,90,90,95,100,90
Car,93.33333333333333(0.0),85.83333333,84.666667,99.79,59.166666666666664(0.8333333333333304),91.25(1.3819269959814116),91.25(1.3819269959814116),91.66666667,91.66666667,91.66666667,90,92.08333333333333(1.3819269959814116),78.75(1.3819269959814169),24.0(2.7),31.666666666666664(0.0),71.66666666666669(8.249579113843055),77.5(1.8633899812498256),78.33333333333333(7.168604389202191),76.7,73.3,76.66666667,78.33333333,83.33333333,82.1666667,91.66666667,83.3333333,86.667,90,86.6666667,89.0(1.6996731711975936),88.33333329999999(0.0),93.33333333,93.33333333,93.33333333,93.33333333,93.33333333,93.33333333,93.33333333,90,91.667,93.33333333
CBF,99.98888888888888(0.03333333333333188),98.52962963,100,85.45,97.6388888888889(0.817912881351961),99.36111111111111(0.09212846639875794),99.36111111111111(0.09212846639875794),100,99.55555556,99.66666667,99.66666667,99.66666666666669(0.0),86.91666666666666(0.480322679605297),33.2(0.1),33.22222222222222(0.11111111111110905),90.72222222222221(5.915818927270077),95.58333333333334(1.624228211782637),90.02777777777777(1.5543149815041968),99.4,99.7,99.44,98.77777778,99.77777778,99.0555556,97.44444444,99.7777778,98.333,99.5555556,99.8888889,99.77777777777777(0.1721325931647752),99.88888890000001(0.0),100,100,100,100,100,100,100,100,100,100
ChlorineConcentration,83.86979166666666(2.7153654699536616),73.52256944,81.453125,71.67,58.203124999999986(0.37648000767711093),81.69270833333333(0.9999796547409502),81.69270833333333(0.9999796547409502),85.02604167,83.59375,67.1875,78.54166667,85.44921875(0.513745720426048),79.83723958333333(0.4459041360981188),53.3(0.0),53.255208333333336(0.0),65.49479166666667(1.549862085038181),60.66406250000001(1.5913674491056158),55.47526041666666(0.16611133883038),65,64.8,65.14,69.24479167,65.625,63.0625,69.97395833,66.09375,75.26,72.7083333,71.1979167,87.27604166666667(0.8241025210966049),87.65625(0.0),85.15104167,85.3359375,85.34375,85.7421875,85.62760417,85.65885417,85.81770833,87.76,84.297,87.52604167
CinCECGTorso,82.7463768115942(1.3312247031399114),97.77777778,83.615942,98.32,74.98188405797102(0.5668292698247072),82.73550724637681(0.964578225505372),82.73550724637681(0.964578225505372),85.86956522,80,81.95652174,79.27536232,84.34782608695653(1.0362572207300822),83.64130434782608(1.2248038220206772),38.1(28.0),25.0(0.0),83.93115942028986(6.741151130743764),74.18478260869564(2.819285293335421),28.369565217391308(1.7228251344882242),93,65.1,83.3,71.23188406,94.20289855,90.2753623,95.43478261,88.6956522,99.348,99.4927536,99.6376812,84.21739130434783(2.17748498818385),85.3623188(0.0),83.76811594,83.51449275,83.51449275,83.34057971,83.63768116,83.37681159,83.47826087,82.319,71.232,81.23188406
Coffee,100.0(0.0),98.92857143,100,100,87.5(1.7857142857142905),100.0(0.0),100.0(0.0),100,100,100,100,100.0(0.0),100.0(0.0),51.4(3.5),51.78571428571428(3.092947870658708),97.32142857142858(1.5464739353293493),100.0(0.0),97.32142857142858(2.9612721342458905),100,100,100,100,100,100,96.42857143,100,100,100,100,100.0(0.0),100.0(0.0),100,100,100,100,100,100,100,100,100,100
