dataset_name,OS-CNN,Encoder,FCN,FCN(16),FCN(50),FCN(100),FCN(150),FCN(200),ResNet,MLP,MCNN,t-LeNet,MCDCNN,Time-CNN,TWIESN,1-NN DTW CV,1-NN DTW,LS,TSBF,EE(PROP),PF,ST,BOSS,WEASEL,Flat-COTE,HIVE-COTE,InceptionTime,OS-CNN-ENS(2),OS-CNN-ENS(3),OS-CNN-ENS(4),OS-CNN-ENS(5),OS-CNN-ENS(6),OS-CNN-ENS(7),OS-CNN-ENS(8)
Adiac,83.45(1.1),48.4(2.5),84.4(0.7),84.4(0.7),82.86445013,82.60869565,80.0511509,79.79539642,82.9(0.6),39.7(1.9),2.2(0.6),2.0(0.0),61.0(8.7),37.9(2.0),41.6(4.5),61.1,60.4,56.32,76.98209719,66.49616368,71.8414322,78.26086957,76.4705882,83.12,79.028133,81.0741688,84.14,83.58056266,83.55498721,83.63171355,83.1202046,83.50383632,83.29923274,83.32480818
ArrowHead,83.77(1.36),80.4(2.9),84.3(1.5),84.3(1.5),86.28571429,78.85714286,78.28571429,69.71428571,84.5(1.2),77.8(1.2),33.9(4.7),30.3(0.0),68.5(6.7),72.3(2.6),65.9(9.4),80,66.3,84.57142857,75.42857143,81.14285714,84.4571429,73.71428571,83.4285714,85.714,81.1428571,86.2857143,84.57,84.68571429,85.42857143,84.85714286,84.85714286,84.97142857,84.57142857,84.85714286
Beef,80.67(2.49),64.3(5.0),69.7(4.0),69.7(4.0),73.33333333,83.33333333,86.66666667,66.66666667,75.3(4.2),72.0(2.8),20.0(0.0),20.0(0.0),56.3(7.8),76.3(1.1),53.7(14.9),66.7,63.3,76,56.66666667,63.33333333,71,90,80,76.667,86.6666667,93.3333333,70,80.33333333,80.33333333,80,80,80,80,80
BeetleFly,81.5(5.5),74.5(7.6),86.0(9.7),86.0(9.7),85,95,95,75,85.0(2.4),87.0(2.6),50.0(0.0),50.0(0.0),58.0(9.2),89.0(3.2),73.0(7.9),70,70,80,80,75,74.5,90,90,95,80,95,80,84.5,83.5,84,85,85,85,85
BirdChicken,88.5(3.2),66.5(5.8),95.5(3.7),95.5(3.7),100,90,80,80,88.5(5.3),77.5(3.5),50.0(0.0),50.0(0.0),58.0(10.3),60.5(9.0),74.0(15.6),70,75,80,90,80,85.5,80,95,80,90,85,95,89.5,90,90,90,90,90,90
Car,93.33(0.0),75.8(2.0),90.5(1.4),90.5(1.4),91.66666667,91.66666667,91.66666667,90,92.5(1.4),76.7(2.6),24.0(2.7),31.7(0.0),73.0(3.0),78.2(1.2),78.3(4.0),76.7,73.3,76.66666667,78.33333333,83.33333333,82.1666667,91.66666667,83.3333333,86.667,90,86.6666667,88.33,93.33333333,93.33333333,93.33333333,93.33333333,93.33333333,93.33333333,93.33333333
CBF,99.99(0.03),94.7(1.2),99.4(0.1),99.4(0.1),100,99.55555556,99.66666667,99.66666667,99.5(0.3),87.2(0.7),33.2(0.1),33.2(0.1),82.0(20.5),95.7(1.0),89.0(4.9),99.4,99.7,99.44,98.77777778,99.77777778,99.0555556,97.44444444,99.7777778,98.333,99.5555556,99.8888889,99.89,100,100,100,100,100,100,100
ChlorineConcentration,83.87(2.72),57.3(1.1),81.4(0.9),81.4(0.9),85.02604167,83.59375,67.1875,78.54166667,84.4(1.0),80.2(1.1),53.3(0.0),53.3(0.0),64.3(3.8),60.0(0.8),55.3(0.3),65,64.8,65.14,69.24479167,65.625,63.0625,69.97395833,66.09375,75.26,72.7083333,71.1979167,87.66,85.15104167,85.3359375,85.34375,85.7421875,85.62760417,85.65885417,85.81770833
CinCECGTorso,82.75(1.33),91.1(2.7),82.4(1.2),82.4(1.2),85.86956522,80,81.95652174,79.27536232,82.6(2.4),84.0(1.0),38.1(28.0),25.0(0.1),73.6(15.2),74.5(4.9),30.0(2.9),93,65.1,83.3,71.23188406,94.20289855,90.2753623,95.43478261,88.6956522,99.348,99.4927536,99.6376812,85.36,83.76811594,83.51449275,83.51449275,83.34057971,83.63768116,83.37681159,83.47826087
Coffee,100.0(0.0),97.9(1.8),100.0(0.0),100.0(0.0),100,100,100,100,100.0(0.0),99.6(1.1),51.4(3.5),53.6(0.0),98.2(2.5),99.6(1.1),97.1(2.8),100,100,100,100,100,100,96.42857143,100,100,100,100,100,100,100,100,100,100,100,100
Computers,70.68(2.65),57.4(2.2),82.2(1.0),82.2(1.0),76,67.2,54.4,58.8,81.5(1.2),56.3(1.6),52.2(4.8),50.0(0.0),55.9(3.3),54.8(1.5),62.9(4.1),62,70,58.4,75.6,70.8,61.68,73.6,75.6,65.6,74,76,79.6,72.28,73.52,72.64,72.36,71.84,72.44,72.16
CricketX,85.51(1.14),69.4(1.6),79.2(0.7),79.2(0.7),81.53846154,81.79487179,78.20512821,80.25641026,79.1(0.6),59.1(1.1),18.9(23.8),7.4(0.0),49.5(5.3),55.2(2.9),62.2(2.1),77.2,75.4,79.08,70.51282051,81.28205128,77.974359,77.17948718,73.5897436,76.41,80.7692308,82.3076923,85.38,85.92307692,86.61538462,86.58974359,86.71794872,86.71794872,86.61538462,86.71794872
