dataset_name,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
Adiac,0.82608696,0.83887468,0.81585678,0.83887468,0.84143223,0.8516624,0.81585678,0.83631714,0.83887468,0.84143223
ArrowHead,0.84,0.82857143,0.82285714,0.85142857,0.81714286,0.83428571,0.82857143,0.85142857,0.84,0.86285714
Beef,0.76666667,0.8,0.83333333,0.83333333,0.8,0.8,0.83333333,0.76666667,0.83333333,0.8
BeetleFly,0.85,0.8,0.8,0.85,0.75,0.85,0.7,0.9,0.8,0.85
BirdChicken,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.85,0.9,0.9
Car,0.93333333,0.93333333,0.93333333,0.93333333,0.93333333,0.93333333,0.93333333,0.93333333,0.93333333,0.93333333
CBF,1,1,1,1,1,1,1,1,0.99888889,1
ChlorineConcentration,0.85651042,0.84166667,0.85182292,0.84817708,0.85260417,0.75989583,0.85234375,0.84296875,0.84973958,0.83125
CinCECGTorso,0.81956522,0.84927536,0.81666667,0.81449275,0.82898551,0.8326087,0.84637681,0.83188406,0.83043478,0.80434783
Coffee,1,1,1,1,1,1,1,1,1,1
Computers,0.704,0.668,0.724,0.704,0.728,0.656,0.716,0.752,0.712,0.704
CricketX,0.84871795,0.83333333,0.85641026,0.86410256,0.86923077,0.86923077,0.85641026,0.84358974,0.84615385,0.86410256
CricketY,0.86666667,0.87435897,0.88717949,0.86923077,0.85641026,0.85128205,0.85384615,0.86923077,0.86923077,0.87435897
CricketZ,0.85641026,0.85897436,0.86410256,0.86666667,0.85641026,0.86923077,0.85128205,0.87179487,0.86153846,0.87435897
DiatomSizeReduction,0.98039216,0.97712418,0.97712418,0.98366013,0.97058824,0.98039216,0.96405229,0.96732026,0.98039216,0.99019608
DistalPhalanxOutlineAgeGroup,0.76258993,0.74100719,0.76258993,0.74100719,0.74820144,0.65467626,0.72661871,0.74820144,0.75539568,0.74100719
DistalPhalanxOutlineCorrect,0.77536232,0.76811594,0.76086957,0.76449275,0.76086957,0.77536232,0.75362319,0.75724638,0.77173913,0.77173913
DistalPhalanxTW,0.62589928,0.67625899,0.6618705,0.67625899,0.67625899,0.65467626,0.6618705,0.64748201,0.68345324,0.67625899
Earthquakes,0.70503597,0.69784173,0.68345324,0.71223022,0.64028777,0.5323741,0.67625899,0.69784173,0.68345324,0.66906475
ECG200,0.93,0.89,0.89,0.91,0.91,0.9,0.92,0.9,0.91,0.92
ECG5000,0.93844444,0.93755556,0.94066667,0.94066667,0.94133333,0.93844444,0.94066667,0.94111111,0.94022222,0.94177778
ECGFiveDays,1,1,0.99535424,1,1,1,1,1,1,1
ElectricDevices,0.72299313,0.73505382,0.729218,0.72208533,0.71780573,0.70405914,0.72091817,0.72273376,0.72818052,0.73284918
FaceAll,0.84319527,0.81952663,0.84852071,0.92071006,0.84023669,0.81775148,0.81183432,0.84497041,0.86272189,0.83786982
FaceFour,0.95454545,0.96590909,0.96590909,0.94318182,0.94318182,0.94318182,0.95454545,0.95454545,0.94318182,0.94318182
FacesUCR,0.96878049,0.96634146,0.96731707,0.96780488,0.96878049,0.96878049,0.96536585,0.96829268,0.96439024,0.96829268
FiftyWords,0.82197802,0.81098901,0.81098901,0.82637363,0.81978022,0.8021978,0.82197802,0.81318681,0.8043956,0.82857143
Fish,0.99428571,0.97714286,0.98285714,0.99428571,0.99428571,1,0.98857143,0.98857143,0.97714286,0.97714286
FordA,0.95984848,0.95454545,0.95378788,0.95454545,0.95530303,0.94924242,0.95454545,0.95378788,0.95833333,0.95378788
FordB,0.84074074,0.8382716,0.83580247,0.8345679,0.84938272,0.84691358,0.8382716,0.84197531,0.81358025,0.83950617
GunPoint,1,1,1,1,1,1,1,0.99333333,1,1
Ham,0.71428571,0.68571429,0.71428571,0.68571429,0.7047619,0.71428571,0.71428571,0.6952381,0.71428571,0.6952381
HandOutlines,0.87027027,0.91621622,0.94054054,0.90540541,0.95135135,0.92702703,0.92972973,0.95135135,0.95675676,0.94594595
Haptics,0.5,0.49675325,0.50324675,0.50324675,0.51623377,0.52922078,0.49025974,0.53571429,0.51298701,0.51298701
Herring,0.625,0.625,0.609375,0.578125,0.671875,0.640625,0.515625,0.625,0.609375,0.578125
InlineSkate,0.42909091,0.46,0.47090909,0.41090909,0.41454545,0.42727273,0.45818182,0.43090909,0.39454545,0.39636364
InsectWingbeatSound,0.63434343,0.64191919,0.62626263,0.63333333,0.63838384,0.63030303,0.64040404,0.63585859,0.63737374,0.63383838
ItalyPowerDemand,0.9494655,0.94557823,0.94169096,0.9494655,0.94655005,0.95140914,0.9436346,0.9494655,0.94752187,0.94752187
LargeKitchenAppliances,0.89066667,0.888,0.90666667,0.912,0.89866667,0.904,0.89333333,0.87733333,0.888,0.89866667
Lightning2,0.78688525,0.81967213,0.83606557,0.80327869,0.81967213,0.80327869,0.78688525,0.78688525,0.81967213,0.80327869
Lightning7,0.79452055,0.79452055,0.78082192,0.82191781,0.79452055,0.75342466,0.82191781,0.76712329,0.80821918,0.79452055
Mallat,0.96801706,0.96972281,0.96929638,0.96886994,0.96673774,0.9684435,0.96886994,0.96034115,0.96375267,0.93432836
Meat,0.96666667,0.96666667,0.96666667,0.91666667,0.91666667,0.93333333,0.93333333,0.91666667,0.98333333,0.96666667
MedicalImages,0.775,0.76578947,0.77368421,0.76447368,0.77236842,0.77894737,0.76842105,0.76710526,0.76842105,0.76052632
MiddlePhalanxOutlineAgeGroup,0.55844156,0.53896104,0.5,0.50649351,0.53896104,0.54545455,0.51298701,0.55194805,0.53896104,0.57142857
MiddlePhalanxOutlineCorrect,0.82474227,0.81786942,0.82474227,0.80412371,0.78006873,0.82474227,0.81099656,0.81443299,0.80756014,0.83161512
MiddlePhalanxTW,0.55194805,0.52597403,0.49350649,0.50649351,0.55844156,0.49350649,0.52597403,0.46103896,0.56493506,0.51298701
MoteStrain,0.91693291,0.93530351,0.93530351,0.92811502,0.90974441,0.92412141,0.92492013,0.92492013,0.93929712,0.92492013
NonInvasiveFetalECGThorax1,0.96132316,0.956743,0.9648855,0.9653944,0.96030534,0.95826972,0.96590331,0.96844784,0.96284987,0.96284987
NonInvasiveFetalECGThorax2,0.95928753,0.96437659,0.96234097,0.956743,0.95776081,0.9562341,0.96081425,0.96437659,0.95725191,0.96132316
OliveOil,0.86666667,0.8,0.73333333,0.73333333,0.83333333,0.66666667,0.83333333,0.83333333,0.8,0.76666667
OSULeaf,0.93801653,0.92561983,0.9338843,0.94628099,0.95041322,0.95867769,0.93801653,0.9338843,0.92975207,0.94628099
PhalangesOutlinesCorrect,0.84731935,0.81818182,0.83916084,0.82167832,0.82517483,0.84265734,0.82750583,0.82983683,0.82634033,0.81934732
Phoneme,0.29694093,0.30327004,0.30748945,0.31223629,0.30537975,0.30168776,0.29799578,0.31751055,0.30116034,0.30168776
Plane,1,1,1,1,1,1,1,1,1,1
ProximalPhalanxOutlineAgeGroup,0.8195122,0.85365854,0.83902439,0.85365854,0.84390244,0.85365854,0.83902439,0.84390244,0.84878049,0.84390244
ProximalPhalanxOutlineCorrect,0.90378007,0.9209622,0.89690722,0.91065292,0.90721649,0.90721649,0.91408935,0.90378007,0.91408935,0.90034364
ProximalPhalanxTW,0.7804878,0.76097561,0.77560976,0.77560976,0.77073171,0.77073171,0.76585366,0.77073171,0.78536585,0.77560976
RefrigerationDevices,0.50933333,0.49866667,0.50933333,0.504,0.49866667,0.51733333,0.52533333,0.496,0.488,0.48266667
ScreenType,0.55466667,0.536,0.54666667,0.464,0.52266667,0.53866667,0.53066667,0.51466667,0.51466667,0.54133333
ShapeletSim,0.88333333,0.78888889,0.77777778,0.77222222,0.82222222,0.81666667,0.81111111,0.79444444,0.7,0.82777778
ShapesAll,0.91833333,0.92833333,0.92,0.92166667,0.935,0.92,0.915,0.90333333,0.91833333,0.92333333
SmallKitchenAppliances,0.72,0.73333333,0.73066667,0.71733333,0.71733333,0.70933333,0.72266667,0.72533333,0.72533333,0.70666667
SonyAIBORobotSurface1,0.99168053,0.96339434,0.98003328,0.96672213,0.98502496,0.98169717,0.99168053,0.97004992,0.97836938,0.98668885
SonyAIBORobotSurface2,0.96852046,0.95487933,0.96537251,0.94438615,0.95697796,0.96537251,0.96432319,0.93599161,0.96117524,0.92130115
StarLightCurves,0.97353084,0.96903837,0.9772948,0.97438077,0.97340942,0.97765906,0.97510928,0.97644488,0.97656629,0.97693055
Strawberry,0.97297297,0.98378378,0.98378378,0.98918919,0.97567568,0.98648649,0.98108108,0.98648649,0.97837838,0.98108108
SwedishLeaf,0.9792,0.9728,0.9728,0.9792,0.9696,0.9696,0.96,0.9648,0.9696,0.9744
Symbols,0.97487437,0.96884422,0.96281407,0.94572864,0.96984925,0.96582915,0.9638191,0.95778894,0.92562814,0.97688442
SyntheticControl,0.99666667,1,1,1,0.99666667,1,1,1,1,1
ToeSegmentation1,0.95175439,0.93859649,0.95614035,0.96052632,0.95614035,0.96491228,0.95614035,0.94298246,0.95614035,0.95614035
ToeSegmentation2,0.92307692,0.96153846,0.93846154,0.95384615,0.96923077,0.94615385,0.95384615,0.93076923,0.93846154,0.94615385
Trace,1,1,1,1,1,1,1,1,1,1
TwoLeadECG,0.99912204,0.99912204,0.99912204,0.99912204,0.99912204,1,0.99912204,0.99912204,0.99912204,0.99912204
TwoPatterns,1,1,1,1,1,1,1,1,1,1
UWaveGestureLibraryAll,0.93830262,0.94639866,0.94165271,0.94081519,0.94304858,0.94081519,0.94528197,0.94528197,0.94165271,0.94137353
UWaveGestureLibraryX,0.82104969,0.82467895,0.82300391,0.82747069,0.82049135,0.82160804,0.81937465,0.82384143,0.81769961,0.8188163
UWaveGestureLibraryY,0.76130653,0.76214405,0.74902289,0.76326075,0.75935232,0.76214405,0.75488554,0.75879397,0.74986041,0.75097711
UWaveGestureLibraryZ,0.77079844,0.75265215,0.77303183,0.7585148,0.75795645,0.76912339,0.75879397,0.76633166,0.75795645,0.77107761
Wafer,0.99853991,0.99870214,0.99902661,0.99918884,0.99789098,0.99789098,0.99805321,0.99740428,0.99886437,0.99821544
Wine,0.81481481,0.62962963,0.90740741,0.81481481,0.81481481,0.7962963,0.57407407,0.83333333,0.55555556,0.7037037
WordSynonyms,0.73667712,0.74451411,0.73824451,0.7476489,0.73040752,0.7523511,0.73040752,0.7460815,0.7476489,0.7492163
Worms,0.75324675,0.76623377,0.79220779,0.7012987,0.77922078,0.76623377,0.74025974,0.79220779,0.79220779,0.76623377
WormsTwoClass,0.68831169,0.68831169,0.66233766,0.61038961,0.62337662,0.63636364,0.66233766,0.66233766,0.61038961,0.72727273
Yoga,0.88933333,0.91466667,0.91633333,0.91233333,0.91866667,0.92,0.901,0.911,0.90733333,0.915
ACSF1,90,88,91,91,90,89,92,89,92,90
AllGestureWiimoteX,78.14285714,80.14285714,82.85714286,78.42857143,81.28571429,80.71428571,79.14285714,79.71428571,81.28571429,80
AllGestureWiimoteY,79.28571429,80.71428571,81,81.28571429,83.57142857,81.28571429,80.71428571,80.85714286,81.71428571,83.14285714
AllGestureWiimoteZ,77.57142857,76,77.14285714,79.14285714,77,78.85714286,78.14285714,77.85714286,77.71428571,77.14285714
BME,100,100,100,100,100,100,100,100,100,100
Chinatown,97.68115942,97.97101449,97.39130435,97.39130435,97.97101449,97.39130435,97.39130435,97.68115942,98.26086957,97.68115942
Crop,77.26190476,76.83928571,76.92857143,76.93452381,76.5297619,76.875,76.72619048,76.78571429,76.89285714,77.01785714
DodgerLoopDay,55,55,61.25,48.75,51.25,46.25,55,53.75,56.25,56.25
DodgerLoopGame,86.95652174,86.95652174,89.13043478,88.4057971,88.4057971,92.02898551,86.95652174,87.68115942,92.02898551,89.13043478
DodgerLoopWeekend,97.10144928,98.55072464,97.82608696,97.82608696,97.82608696,97.10144928,97.82608696,98.55072464,97.82608696,97.82608696
EOGHorizontalSignal,63.5359116,62.70718232,62.98342541,67.12707182,62.15469613,63.25966851,63.8121547,66.29834254,65.19337017,62.70718232
EOGVerticalSignal,48.89502762,45.5801105,48.06629834,51.65745856,43.64640884,47.23756906,47.79005525,47.23756906,47.79005525,49.72375691
EthanolLevel,75,75.2,76.2,71.2,67,77.4,74,71.2,73.8,69.8
FreezerRegularTrain,99.71929825,99.64912281,99.64912281,99.71929825,99.75438596,99.71929825,99.50877193,99.75438596,99.57894737,99.57894737
FreezerSmallTrain,89.92982456,88.03508772,91.8245614,91.12280702,84.56140351,84.73684211,82.14035088,91.15789474,90.14035088,88.24561404
Fungi,100,100,100,100,100,100,100,100,100,100
GestureMidAirD1,73.84615385,73.84615385,71.53846154,73.07692308,73.07692308,71.53846154,73.07692308,72.30769231,73.84615385,73.84615385
GestureMidAirD2,63.84615385,64.61538462,63.07692308,63.84615385,62.30769231,63.84615385,62.30769231,62.30769231,65.38461538,60.76923077
GestureMidAirD3,39.23076923,43.07692308,42.30769231,40,43.84615385,43.84615385,43.84615385,40,41.53846154,39.23076923
GesturePebbleZ1,94.18604651,93.02325581,92.44186047,90.69767442,90.69767442,89.53488372,92.44186047,93.60465116,91.27906977,92.44186047
GesturePebbleZ2,87.34177215,89.87341772,92.40506329,90.50632911,92.40506329,89.87341772,87.97468354,88.60759494,91.13924051,89.24050633
GunPointAgeSpan,99.6835443,98.73417722,98.73417722,99.05063291,99.36708861,99.36708861,99.36708861,100,100,97.46835443
GunPointMaleVersusFemale,100,100,99.6835443,100,100,100,100,100,99.6835443,100
GunPointOldVersusYoung,100,100,100,100,100,100,100,100,100,100
HouseTwenty,95.79831933,96.63865546,96.63865546,94.11764706,95.79831933,95.79831933,94.95798319,93.27731092,89.07563025,96.63865546
InsectEPGRegularTrain,89.55823293,99.19678715,100,97.99196787,100,100,64.25702811,100,100,100
InsectEPGSmallTrain,35.74297189,47.38955823,47.38955823,83.13253012,35.74297189,47.38955823,47.38955823,35.74297189,47.38955823,16.86746988
MelbournePedestrian,91.67346939,92.69387755,92.81632653,86.85714286,89.91836735,88.20408163,88.7755102,87.14285714,89.71428571,90.81632653
MixedShapesRegularTrain,95.54639175,96.53608247,95.75257732,96.24742268,96.28865979,95.95876289,95.91752577,96.82474227,95.46391753,96.37113402
MixedShapesSmallTrain,91.58762887,93.11340206,92.49484536,92.57731959,92.45360825,92.78350515,92.20618557,92.90721649,93.07216495,92.98969072
PickupGestureWiimoteZ,92,92,92,96,90,94,90,90,90,92
PigAirwayPressure,62.5,67.78846154,56.25,62.01923077,63.94230769,60.57692308,59.61538462,61.53846154,61.05769231,64.42307692
PigArtPressure,99.51923077,99.03846154,98.07692308,99.51923077,99.51923077,99.03846154,99.03846154,99.03846154,99.51923077,100
PigCVP,80.28846154,75.48076923,69.71153846,82.69230769,70.19230769,85.09615385,85.09615385,78.84615385,93.26923077,90.38461538
PLAID,24.20856611,21.41527002,18.24953445,14.52513966,13.96648045,22.53258845,16.94599628,22.71880819,16.5735568,21.41527002
PowerCons,98.33333333,99.44444444,99.44444444,99.44444444,97.77777778,98.88888889,100,98.33333333,99.44444444,98.88888889
Rock,66,70,36,54,54,52,58,50,54,56
SemgHandGenderCh2,85.5,85.33333333,88,81.16666667,87,88.66666667,79.5,87.33333333,86,87.66666667
SemgHandMovementCh2,55.11111111,57.55555556,58.44444444,53.11111111,56.66666667,55.11111111,56.88888889,60.22222222,55.33333333,57.77777778
SemgHandSubjectCh2,72,70,77.11111111,60.44444444,65.11111111,77.77777778,78.44444444,68.88888889,77.33333333,71.33333333
ShakeGestureWiimoteZ,96,96,96,98,96,94,96,98,94,98
SmoothSubspace,97.33333333,98.66666667,99.33333333,98.66666667,99.33333333,100,99.33333333,98.66666667,99.33333333,98
UMD,99.30555556,99.30555556,99.30555556,99.30555556,99.30555556,99.30555556,99.30555556,99.30555556,99.30555556,99.30555556
