dataset_name,OS-CNN Train Acc,OS-CNN Test Acc,CDTW Train Acc,CDTW Test Acc
ACSF1,0.76,0.902,0.47,0.64
Adiac,0.791609,0.834526856,0.603033536,0.6036
AllGestureWiimoteX,0.803332,0.801714286,0.683333333,0.7157
AllGestureWiimoteY,0.850001,0.813571429,0.75,0.7286
AllGestureWiimoteZ,0.713333,0.776571429,0.6,0.6429
ArrowHead,0.850001,0.837714285,0.733333333,0.7029
Beef,0.72,0.806666666,0.42,0.6333
BeetleFly,1,0.815,0.75,0.7
BirdChicken,0.9,0.885,0.75,0.75
BME,1,1,1,0.9
Car,0.926428,0.93333333,0.675714286,0.7333
CBF,1,0.999888889,0.933333333,0.9967
Chinatown,0.95,0.976811594,0.9,0.9563
ChlorineConcentration,0.830388,0.838697917,0.599620533,0.6484
CinCECGTorso,0.81,0.827463769,0.843333333,0.6507
Coffee,1,1,1,1
Computers,0.765706,0.7068,0.61474359,0.7
CricketX,0.881142,0.855128205,0.768044492,0.7538
CricketY,0.850377,0.867179487,0.726588515,0.7436
CricketZ,0.8363,0.863076923,0.77443825,0.7538
Crop,0.759721,0.768791667,0.68375,0.6652
DiatomSizeReduction,1,0.977124184,1,0.9673
DistalPhalanxOutlineAgeGroup,0.815288,0.738129496,0.773323952,0.7698
DistalPhalanxOutlineCorrect,0.828678,0.76594203,0.776665277,0.7174
DistalPhalanxTW,0.781304,0.664028775,0.725275958,0.5899
DodgerLoopDay,0.565239,0.53875,0.346428571,0.5
DodgerLoopGame,0.85,0.887681159,0.85,0.8768
DodgerLoopWeekend,1,0.97826087,1,0.9493
Earthquakes,0.718356,0.669784174,0.739201491,0.7194
ECG200,0.898889,0.908,0.828686869,0.77
ECG5000,0.950894,0.940088889,0.917507926,0.9244
ECGFiveDays,1,0.999535424,0.566666667,0.7677
ElectricDevices,0.834699,0.723589678,0.747766438,0.6012
EOGHorizontalSignal,0.903362,0.639779005,0.731871345,0.5028
EOGVerticalSignal,0.847952,0.47762431,0.685526316,0.4475
EthanolLevel,0.807212,0.7308,0.271634615,0.276
FaceAll,0.9875,0.844733728,0.946428571,0.8077
FaceFour,0.85,0.951136363,0.725,0.8295
FacesUCR,0.970585,0.967414633,0.917321777,0.9049
FiftyWords,0.733516,0.816043955,0.700772779,0.6901
Fish,0.962079,0.987428571,0.760108912,0.8229
FordA,0.952232,0.954772725,0.579551829,0.5545
FordB,0.96291,0.837901234,0.680422608,0.6198
FreezerRegularTrain,0.992857,0.996631579,0.874107143,0.8989
FreezerSmallTrain,1,0.881894737,0.85,0.7589
Fungi,1,1,1,0.8387
GestureMidAirD1,0.73077,0.73,0.653846154,0.5692
GestureMidAirD2,0.565386,0.632307693,0.553846154,0.6077
GestureMidAirD3,0.407693,0.416923077,0.365384615,0.3231
GesturePebbleZ1,0.969231,0.920348837,0.886538462,0.7907
GesturePebbleZ2,0.973413,0.899367089,0.952380952,0.6709
GunPoint,1,0.999333333,0.941666667,0.9067
GunPointAgeSpan,0.964286,0.991772152,0.957142857,0.9177
GunPointMaleVersusFemale,1,0.999367089,1,0.9968
GunPointOldVersusYoung,1,1,0.978498168,0.8381
Ham,0.905152,0.703809523,0.621666667,0.4667
HandOutlines,0.899006,0.929459461,0.850034003,0.8811
Haptics,0.593728889,0.510064935,0.472379516,0.3766
Herring,0.545239,0.6078125,0.53047619,0.5312
HouseTwenty,0.95,0.948739496,0.875,0.9244
InlineSkate,0.449975,0.429272727,0.356489621,0.3836
InsectEPGRegularTrain,0.766668,0.951004016,0.773809524,0.8715
InsectEPGSmallTrain,0.233332,0.444176707,0.6,0.7349
InsectWingbeatSound,0.568182,0.63520202,0.495454545,0.3551
ItalyPowerDemand,0.958333,0.947230322,0.958333333,0.9504
LargeKitchenAppliances,0.909831,0.895733334,0.733119658,0.7947
Lightning2,0.899998,0.806557378,0.85,0.8689
Lightning7,0.813096,0.793150687,0.800992063,0.726
Mallat,0.963889,0.963837955,0.9625,0.9339
Meat,1,0.946666668,0.966666667,0.9333
MedicalImages,0.76954,0.769473683,0.728842737,0.7368
MelbournePedestrian,0.894168,0.898612245,0.815833333,0.7909
MiddlePhalanxOutlineAgeGroup,0.763159,0.536363637,0.737638903,0.5
MiddlePhalanxOutlineCorrect,0.823588,0.814089348,0.701995925,0.6976
MiddlePhalanxTW,0.619014,0.519480519,0.566087675,0.5065
MixedShapesRegularTrain,0.948,0.960907217,0.918,0.8416
MixedShapesSmallTrain,0.95,0.926185567,0.86,0.7798
MoteStrain,0.85,0.926357828,0.75,0.8347
NonInvasiveFetalECGThorax1,0.960933,0.962697201,0.801629209,0.7903
NonInvasiveFetalECGThorax2,0.962107,0.960050891,0.86406745,0.8646
OliveOil,0.69,0.786666666,0.88,0.8333
OSULeaf,0.949414,0.940082645,0.731707487,0.5909
PhalangesOutlinesCorrect,0.830748,0.829720281,0.726663237,0.7284
Phoneme,0.36358,0.304535865,0.325486297,0.2284
PickupGestureWiimoteZ,0.85,0.918,0.68,0.66
PigAirwayPressure,0.378845,0.619711538,0.096153846,0.1058
PigArtPressure,0.878848,0.992307692,0.221153846,0.2452
PigCVP,0.505767,0.811057693,0.086538462,0.1538
PLAID,0.157745,0.192551211,0.751966511,0.8361
Plane,1,1,0.9875,1
PowerCons,0.97222,0.99,0.916666667,0.8778
ProximalPhalanxOutlineAgeGroup,0.785584,0.843902441,0.758206033,0.8049
ProximalPhalanxOutlineCorrect,0.883699,0.90790378,0.779562842,0.7835
ProximalPhalanxTW,0.842278,0.773170733,0.75771854,0.7561
RefrigerationDevices,0.520086,0.502933333,0.437393162,0.464
Rock,0.55,0.55,0.6,0.6
ScreenType,0.501709,0.526400002,0.337606838,0.3973
SemgHandGenderCh2,0.876666,0.856166667,0.863333333,0.8017
SemgHandMovementCh2,0.530655,0.566222222,0.665178571,0.5844
SemgHandSubjectCh2,0.795556,0.718444444,0.806666667,0.7267
ShakeGestureWiimoteZ,0.94,0.962,0.82,0.86
