DatasetName,1-NN Euclidean Distance Train Acc,1-NN Euclidean Distance Test Acc,BOSS Train Acc,BOSS Test Acc,OS-CNN Train Acc,OS-CNN Test Acc
Two_Patterns,91.70,91.0,98.4,99.6,100.0,100.00
ChlorineConcentration,63.40,65.0,67.9,66.0,100.0,83.87
wafer,99.30,99.5,100.0,99.9,100.0,99.84
MedicalImages,72.20,68.4,65.1,71.2,100.0,76.95
FaceAll,88.70,71.4,96.1,79.0,100.0,84.47
OSULeaf,62,51.7,91.0,98.8,100.0,94.01
Adiac,60.50,61.1,68.7,78.0,100.0,83.45
SwedishLeaf,75.00,78.7,86.8,92.8,100.0,97.12
yoga,77,83.0,90.7,91.9,100.0,91.06
Fish,76,78.3,96.6,98.9,100.0,98.74
Lighting7,64.30,57.5,70.0,65.8,100.0,79.32
Lighting2,71.70,75.4,93.3,85.2,100.0,80.66
Trace,84,76.0,100.0,100.0,100.0,100.00
synthetic_control,91.30,88.0,94.0,97.0,100.0,99.93
FacesUCR,75.50,76.9,91.5,95.8,100.0,96.74
CinC_ECG_torso,85,89.7,95.0,87.5,100.0,82.75
MALLAT,98.20,91.4,98.2,94.2,100.0,96.38
Symbols,84,90.0,100.0,96.8,100.0,96.12
Coffee,100,100.0,100.0,100.0,100.0,100.00
ECG200,86,88.0,92.0,87.0,100.0,90.80
FaceFour,66.70,78.4,100.0,100.0,100.0,95.11
OliveOil,90,86.7,96.7,90.0,100.0,78.67
Gun-Point,96,91.3,100.0,100.0,100.0,99.93
Beef,50,53.3,60.0,80.0,100.0,80.67
DiatomSizeReduction,93.70,93.5,93.7,95.4,100.0,97.71
CBF,83.30,85.2,100.0,100.0,100.0,99.99
ECGFiveDays,82.60,79.7,100.0,100.0,100.0,99.95
TwoLeadECG,78.30,74.7,100.0,98.4,100.0,99.92
SonyAIBORobotSurfaceII,85.20,85.9,96.3,90.2,100.0,95.38
Motes,75,87.9,95.0,92.7,100.0,92.64
ItalyPowerDemand,95.50,95.5,94.0,94.7,100.0,94.72
SonyAIBORobotSurface,90,69.5,100.0,67.9,100.0,97.95
